"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2020","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2020","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2020","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2020","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2020","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2020","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2020","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2020","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2020","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2020","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2020","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2020","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2020","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","62",""
"SURVEY","2020","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2020","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","81",""
"SURVEY","2020","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2020","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2020","YEAR","","STATE","UTAH","49","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2020","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","54",""
"SURVEY","2020","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2020","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2020","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2020","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2019","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","114",""
"SURVEY","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2019","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","38",""
"SURVEY","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2019","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2019","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2019","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2019","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2019","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2019","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","122",""
"SURVEY","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","16",""
"SURVEY","2019","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2019","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2019","YEAR","","STATE","OREGON","41","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2019","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","84",""
"SURVEY","2019","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2019","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2019","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2019","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","36",""
"SURVEY","2019","YEAR","","STATE","UTAH","49","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2019","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2019","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2019","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2019","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2019","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","199",""
"SURVEY","2018","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2018","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","115",""
"SURVEY","2018","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2018","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2018","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2018","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2018","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2018","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2018","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2018","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2018","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2018","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2018","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2018","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2018","YEAR","","STATE","MAINE","23","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2018","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2018","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","39",""
"SURVEY","2018","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2018","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","DAIRY PRODUCT TOTALS","DAIRY PRODUCT TOTALS - PRODUCTION, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","31",""
